Gender,Phoneme,Type,T1_F1_Mean,T1_F1_SD,T1_F2_Mean,T1_F2_SD,T2_F1_Mean,T2_F1_SD,T2_F2_Mean,T2_F2_SD
F,iː,rising_diphthong,391,43,2729,150,,,,
F,ɪ,monophthong,402,41,2697,147,,,,
F,e,monophthong,537,66,2400,144,,,,
F,eː,monophthong,529,67,2389,145,,,,
F,æ,monophthong,886,96,2014,108,,,,
F,ɐ,monophthong,941,103,1563,98,,,,
F,ɐː,monophthong,955,96,1525,105,,,,
F,ʉː,monophthong,399,41,2138,153,,,,
F,ɜː,monophthong,527,68,1926,114,,,,
F,ɔ,monophthong,708,78,1182,87,,,,
F,oː,monophthong,494,66,954,97,,,,
F,ʊ,monophthong,436,42,1054,112,,,,
F,æɪ,centring_diphthong,917,100,1924,133,428,53,2538,141
F,ɑe,centring_diphthong,887,96,1341,99,552,78,2173,135
F,oɪ,centring_diphthong,561,74,1052,103,437,56,2387,156
F,æɔ,rising_diphthong,931,88,1990,120,717,109,1375,150
F,əʉ,rising_diphthong,762,92,1602,130,425,50,2119,131
F,ɪə,centring_diphthong,392,40,2687,157,,,,
F,ə,monophthong,,,,,,,,
M,iː,rising_diphthong,,,,,,,,
M,ɪ,monophthong,,,,,,,,
M,e,monophthong,,,,,,,,
M,eː,monophthong,,,,,,,,
M,æ,monophthong,,,,,,,,
M,ɐ,monophthong,,,,,,,,
M,ɐː,monophthong,,,,,,,,
M,ʉː,monophthong,,,,,,,,
M,ɜː,monophthong,,,,,,,,
M,ɔ,monophthong,,,,,,,,
M,oː,monophthong,,,,,,,,
M,ʊ,monophthong,,,,,,,,
M,æɪ,centring_diphthong,,,,,,,,
M,ɑe,centring_diphthong,,,,,,,,
M,oɪ,centring_diphthong,,,,,,,,
M,æɔ,rising_diphthong,,,,,,,,
M,əʉ,rising_diphthong,,,,,,,,
M,ɪə,centring_diphthong,,,,,,,,
M,ə,monophthong,,,,,,,,
